Сварині;51.27745;26.25433
Pam'jatne;51.08089;32.13499
Leventsevka;49.51797;34.24236
Колоденці;50.00817;24.26554
Vyshehrad;50.4574;29.92347
Vilne Zhyttia;48.06949;34.07163
Sorochinskoye;51.12607;33.62824
Skalopil;48.49399;28.059
Fatovets;48.6294;25.12203
Ryapid';48.31753;23.4882
Петрані;49.17447;27.91199
Колгоспное;47.85686;34.29467
Pil'niki;45.29525;34.78416
Masiovtsy;49.3682;27.22091
Кутюжинці;49.48256;28.63108
Pushkyne;48.0669;38.73063
Karagach;44.81888;34.04381
Ponomarenk;50.79778;34.60611
Khertsa;48.14752;26.26186
Bereznytsja;51.43877;26.46975
Novokamianka;45.62019;28.94239
Малокостянтинівка;48.44259;38.90693
село Застінка;49.4690038;25.7246178
Chornobaivka;46.69641;32.5471
Pervomayskiy;49.68279;36.13156
Немиров;48.97002;28.83781
Lypovytsia;48.76408;24.05289
місто Дергачі;49.96385;35.4808
Пропашне;48.04248;34.48887
Ljublino;46.94952;31.15384
Olchanské;47.1724;31.76498
Nagirnij;48.10724;39.15165
Bracław;48.82317;28.93827
Krachanivka;49.9454;27.31024
Velika P'jatigirka;49.8686;28.47977
Glushki;49.3519;31.27393
місто Судова Вишня;49.7868;23.37403
Vozsiiatske;47.66047;32.11284
Novogorodskoye;52.26291;33.6016
Савелове;50.5649;35.11857
Керстенцы;48.3746;26.34696
Жуков Яр;50.02909;37.38279
Керстенці;48.3746;26.34696
ripuki;50.44296;30.53039
Suin-Adzhi;44.92281;34.2276
Novi Strilishha;49.51557;24.40381
Rudnia-Ivanivska;50.98569;27.6981
Словяньск;48.84974;37.59739
село Мала Копаня;48.16807;23.09372
Ljubline;46.94952;31.15384
Bilojars'ke;50.78056;34.00806
Ківшовата;49.48783;30.61643
Шепіївка;49.58937;28.25943
Ponamorenki;49.9083;36.35245
Tacine;48.06672;39.21271
Голубча;49.93131;27.34011
Veletnevka;46.55286;34.74464
Sokhachevka;49.11667;28.16667
Krikivci;48.9799;29.00006
Akulynivka;47.85111;29.53639
Голубці;50.82006;33.83152
Priozernoye;46.63739;32.46455
Molodohvardiys'k;48.34511;39.65244
Vilnoulanivske;47.95717;35.19301
Glushin;50.028;25.11338
Nevkus;46.53928;35.49055
Zamikhiv;48.85595;27.37372
Умань;48.7501;30.21944
Bykhal'tsokhivka;51.70061;31.02063
Golikove;48.89023;32.10596
Кліщіївка;48.52897;37.95972
Stefanesti;48.62105;25.68617
Novyi Korets;50.61484;27.14159
Snovsk;51.81943;31.94412
Ostraja_mogila;49.50993;30.15455
Slivnicja;49.50771;22.86848
Velykyy Krupil’;50.49247;31.50908
Бусовисько;49.38341;22.9916
Marianopol';47.9885;36.70739
Buczmany;51.06879;28.04221
Dudnikovka;49.47028;37.10111
Tolstoyy Les;51.38334;29.80059
Карпенкове;51.07377;33.91351
Golikovo;48.89023;32.10596
Pоtіjivkа;50.62039;28.96826
Мамалига;48.25701;26.58153
Shevchenkivskyi district;49.5645;34.53873
Митинці;49.57505;26.95054
Tymonove;49.74371;38.44602
Henichesk;46.16824;34.80861
Nazirna;48.53034;25.20718
Os’nitsa Mala;51.21532;25.95145
Khvoynoye;50.84222;35.06333
Жизномир;49.0298;25.38035
Khutor Naddil;51.36667;29.78333
Kordelevka;49.5209;28.55062
Skovyatin;48.72837;26.03196
Klishki;51.76842;33.29882
Tšernihiv;51.50541;31.28656
Krasna Sloboda;44.98399;34.74381
Mozolievka;49.31077;32.97309
Каторга;45.99588;30.28775
Труди;51.16655;26.25305
Malyye Gorbashi;50.47596;27.43668
Mala Tokmacka;47.53559;35.90223
Кам’януха;51.23781;25.72272
Topilnytsia;49.31114;23.03699
Rudnya Yaltsovskaya;50.75524;29.43486
Путринці;50.15456;26.82187
Kuryache;49.68938;36.13962
Polonitsa-Bogdanovka;49.85;24.43333
Novokrymskoe;45.78007;34.15543
Sloboda-Podlesovskaya;48.22076;28.46366
Абранка;48.73488;23.09795
Eygenfel'd;46.74181;35.08306
Охтирка;50.31036;34.89879
Cherkasskaya;48.83429;37.38755
Ժուրավնոե;50.24424;34.76379
Marynka-Pol'ska;49.85;23.01667
ru la wa;49.30387;28.83903
Shestipillja;48.1045;34.76962
Радчуки;50.47866;34.53295
Ленька-Кабази;44.83565;34.02102
Volvenkove;49.25643;36.79801
Kalinovoye;47.75312;38.69617
Lipnik;50.11808;24.2357
Цирюлики;50.35985;35.95827
Золотоноша;49.66926;32.03637
Velikaya Gomil’sha;49.55578;36.25729
bo mo li ya nei;49.64158;24.93508
Dobrovol'ches'ke;47.13616;34.5716
Марієнталь;47.9885;36.70739
Rykhtichi;49.38748;23.56344
Mala Volosjanka;49.23584;23.02015
Rybky;48.18731;29.04208
село Старі Петликівці;49.13604;25.36583
Volvenkovo;49.25643;36.79801
Zhoved’;51.96727;31.83056
Rokitne-Donivka;49.20317;33.29738
Novoazovskoye;47.11389;38.08599
Крейдянка;50.31581;37.55393
Kulchiivtsi;48.66939;26.71607
Kostgeym;47.18429;35.33474
Петраши;48.12533;25.10522
Novaya Vorontsovka;46.66667;34.36667
Чэрвонэ;49.95114;28.86631
село Доброгостів;49.25957;23.59208
село Митківці;49.50767;27.32367
ʼwmn;48.7501;30.21944
Заміщина;50.210602;25.346394
Куниче;48.48629;28.97027
Saranchëvka;50.11422;34.54073
Kozatche;47.58672;30.01559
Rybno;48.35275;25.28148
Koloniya Muravnya;50.48984;27.94579
Gusarshhina;50.35072;34.3976
Novyy Yarov;49.78333;23.5
Kosh-Degermen;44.70687;33.87096
село Козинці;48.45725;29.11623
Velikiy Mytnik;49.59068;28.01066
Rybne;47.81657;36.34027
Oszipenko;46.91842;36.82414
Novi Petlykivtsi;49.165;25.45913
Çortovets;48.71059;25.27365
Кривачинці;49.48073;26.42947
Polyanitsa Popovichovska;48.35053;24.4315
Pyzowka;48.60092;27.15286
Кривачинцы;49.48073;26.42947
Hel'myaziv;49.81938;31.83907
Матиясово;46.75955;31.44979
Bazal'tove;50.92647;26.24035
Rohyntsi;50.85287;33.3572
Лиманське;46.11821;32.67261
Kościuchnówka;51.35522;25.75598
Poroscovo;48.66832;22.75328
Домаморич;49.5491;25.42699
Gaivka;48.63527;31.37757
Osokory;49.69706;33.01102
Krasn.slobodka;50.01436;30.57747
Datsenkivka;50.67394;34.62332
Роботівка;49.03442;33.75919
Rozsoshi;50.33501;35.44358
Niskenichi;50.73453;24.18388
Revushchyne;48.86669;34.31844
Osokori;49.69706;33.01102
Revoliutsiine;50.14647;36.86713
Ukhly;51.21892;26.49374
Солянуватка;49.59293;22.78377
Rozsosha;49.34036;26.8863
Niskeniche;50.73453;24.18388
Kam'janij Majdan;50.51854;27.88472
Mala Berezovicja;49.75253;25.56468
Терно-Лозоватка;48.41386;33.88022
Vasjukove;48.76608;36.3399
Копачівка Друга;49.61413;26.61434
Bludiv;50.6026;24.92385
Mezhileska;51.05619;29.36827
Zhukovec';50.66353;24.93953
Ustyanivka;50.03829;27.21547
Storozheve;47.80011;36.79797
Курпаты;44.44386;34.13246
Loknistoe;51.52608;31.7118
Mukoshin;51.91115;25.21866
Storozheva;49.66347;34.95299
Гвіздів;50.63485;27.14623
Vernopol'ye;49.03284;37.12232
Вита-Почтовая;50.319;30.38084
село Соколівське;48.473549;32.192291
село Назарівка;49.93899;33.07389
Rybki;48.18731;29.04208
Nova Hnylytsya;49.70942;36.86991
Luk'janivka;50.46642;30.47591
Hnizdyshche;51.87346;31.49649
Sloboda-Mezhyrivska;49.108;27.89495
Znamenivs'ke;48.41953;35.39402
селище Святомиколаївка;47.02866;32.10656
Курпати;44.44386;34.13246
Костенец;49.74547;31.40181
Montrezorovka;49.86801;30.98769
Shman’kovchiki;48.97647;25.91402
Черкассы;49.44452;32.05738
קומסומולסק;49.00835;33.62926
Байдакове;48.82702;33.3622
Velikiy Molod'kov;50.58351;27.42024
Івашків;48.1259;29.20448
Курортне;49.67665;36.45197
Morosovka;49.20528;37.3275
